Country,Population,Area,GDP,PPP,GDP_per_capita,PPP_per_capita,G7,G20,OECD,HDI_2018,Polity_Score,Polity_Type,FH_PR,FH_CL,FH_Total,FH_Status,Continent
Ireland,4937786,68890,388698.71,411091.81,78719.22963,83254.27833,0,0,1,0.942,10,Full Democracy,39,58,97,F,Europe
Israel,8655535,21640,395098.67,357633.41,45646.93806,41318.46385,0,0,1,0.906,6,Democracy,33,43,76,F,Asia
Italy,60461826,294140,2001244.39,2585936.45,33099.30451,42769.73788,1,1,1,0.883,10,Full Democracy,36,53,89,F,Europe
Jamaica,2961167,10830,16458.07,29275.75,5557.967518,9886.558239,0,0,0,0.726,9,Democracy,34,44,78,F,America
Japan,126476461,364555,5081769.54,5247580.84,40179.5678,41490.57302,1,1,1,0.915,10,Full Democracy,40,56,96,F,Asia
Jordan,10203134,88780,43743.66,100495.62,4287.276831,9849.485462,0,0,0,0.723,-3,Closed Anocracy,12,25,37,PF,Asia
Kazakhstan,18776707,2699700,180161.74,478232.47,9594.959329,25469.45372,0,0,0,0.817,-6,Autocracy,5,18,23,NF,Asia
Kenya,53771296,569140,95503.09,220729.73,1776.097976,4104.973218,0,0,0,0.579,9,Democracy,19,29,48,PF,Africa
South Korea,51269185,97230,1642383.22,2046766.34,32034.51001,39921.95975,0,1,1,0.906,8,Democracy,33,50,83,F,Asia
Kosovo,1810463,10887,7926.11,20056.14,4377.946415,11077.90659,0,0,0,,8,Democracy,25,31,56,PF,Europe
Kuwait,4270571,17820,134761.2,213933.11,31555.78025,50094.73206,0,0,0,0.808,-7,Autocracy,13,23,36,PF,Asia
Kyrgyzstan,6524195,191800,8454.62,33163.86,1295.887079,5083.211032,0,0,0,0.674,8,Democracy,12,27,39,PF,Asia
Laos,7275560,230800,18173.84,54922.83,2497.930056,7548.948809,0,0,0,0.604,-7,Autocracy,2,12,14,NF,Asia
Latvia,1886198,62200,34117.2,59250.54,18087.81475,31412.68308,0,0,1,0.854,8,Democracy,37,52,89,F,Europe
Lebanon,6825445,10230,53367.04,112438.06,7818.836721,16473.36694,0,0,0,0.73,6,Democracy,14,30,44,PF,Asia
Lesotho,2142249,30360,2460.07,6468.11,1148.358571,3019.308213,0,0,0,0.518,8,Democracy,27,36,63,PF,Africa
Liberia,5057681,96320,3070.52,7389.76,607.1003687,1461.096499,0,0,0,0.465,7,Democracy,27,33,60,PF,Africa
Libya,6871292,1759540,52076.25,96327.26,7578.814872,14018.79879,0,0,0,0.708,,,1,8,9,NF,Africa
