"ID","Name","Pref","Zipcode","Latitude","Longitude","Line","Station","Walk","Bus","Car","Budget","ScoreN","Score"
"6187613","紅茶ラーメン 紅 KURENAI","京都府",6038244,35.045686,135.738947,"","",NA,NA,NA,NA,0,NA
"7378681","一本槍","京都府",6168303,35.020611,135.695865,"京福嵐山本線","有栖川駅",8,NA,NA,NA,0,NA
"7743705","ラーメン八起","京都府",6018204,34.947333,135.721813,"","",NA,NA,NA,NA,0,NA
"7456774","十番","京都府",6068304,35.022004,135.77435,"京阪本線（鴨東線）","神宮丸太町駅",7,NA,NA,NA,0,NA
"5654678","ラーメン魁力屋 河原町三条店","京都府",6048005,35.009227,135.769173,"","",NA,NA,NA,NA,1,3
"6950839","大勝軒 千代原口店","京都府",6158238,34.982692,135.693039,"阪急嵐山線","上桂駅",13,NA,NA,NA,0,NA
"7416442","麺屋 うまか カリッジュ久御山店","京都府",6130036,34.884494,135.739958,"","",NA,NA,NA,NA,0,NA
"6369984","丸源ラーメン 桂店","京都府",6158223,34.989964,135.700658,"阪急嵐山線","上桂駅",7,NA,NA,NA,0,NA
"5506797","めん屋550","京都府",6240854,35.44507,135.32788,"京都丹後鉄道宮舞線","西舞鶴駅",6,NA,NA,NA,0,NA
"6304677","豚骨野郎 六地蔵店","京都府",6110001,34.93592,135.79874,"京都市営東西線","六地蔵（奈良線・京都市営）駅",3,NA,NA,NA,0,NA
"7676761","神来 イオンモール高の原店","京都府",6190223,34.725977,135.790178,"近鉄京都線","高の原駅",6,NA,NA,NA,0,NA
"7159015","ラーメン魁力屋 丹波口店","京都府",6008812,34.996456,135.74137,"ＪＲ山陰本線（京都-米子）","丹波口駅",2,NA,NA,NA,0,NA
"6896040","よし田","京都府",6128362,34.932791,135.758521,"京阪本線","伏見桃山駅",7,NA,NA,NA,2,NA
"7287593","札幌ラーメン どさん子 福知山店","京都府",6200857,35.296542,135.147961,"ＪＲ","福知山駅",NA,NA,8,NA,0,NA
"7593499","たかばしラーメン 京都東インター店","京都府",6078135,34.982976,135.827199,"京都市営東西線","東野（京都府）駅",13,NA,NA,NA,0,NA
"6273597","笑福屋","京都府",6150885,34.999547,135.711742,"阪急京都本線","西京極駅",21,NA,NA,NA,0,NA
"7353153","担担 四条本店","京都府",6048873,35.003827,135.741831,"阪急京都本線","大宮（京都府）駅",6,NA,NA,NA,1,5
"5506821","来来亭 槇島店","京都府",6110041,34.911114,135.783298,"近鉄京都線","向島駅",20,NA,NA,NA,0,NA
"7234881","ラー麺陽はまた昇る","京都府",6120000,34.968596,135.768613,"","",NA,NA,NA,NA,0,NA
"7717353","麺屋 はなび 京都拉麺小路店","京都府",6008175,NA,NA,"","",NA,NA,NA,NA,0,NA
"5057472","Sugakiya 京田辺アルプラザ店","京都府",6100334,34.821746,135.769041,"ＪＲ片町線〔学研都市線〕","京田辺駅",1,NA,NA,NA,1,2
"7162641","祇園 泉 麺家 千本丸太町店","京都府",6048404,35.017301,135.742219,"京都市営東西線","二条駅",7,NA,NA,NA,2,NA
"5917588","ラーメン横綱 阪急桂店","京都府",6158073,34.979704,135.702658,"阪急京都本線","桂駅",1,NA,NA,NA,0,NA
"7317571","屋台らーめん 同志社前店","京都府",6020898,35.035299,135.759148,"京都市営烏丸線","鞍馬口駅",3,NA,NA,NA,0,NA
"7416210","Japaneseまぜ麺MARUTA","京都府",6020878,35.017288,135.768717,"京阪本線（鴨東線）","神宮丸太町駅",4,NA,NA,NA,0,NA
"7740570","醤油ラーメン専門店 陽はまた昇る","京都府",6120024,34.959353,135.7698,"京阪本線","藤森駅",4,NA,NA,NA,0,NA
"5616254","京一 本店","京都府",6048804,35.004148,135.748214,"阪急京都本線","大宮（京都府）駅",1,NA,NA,NA,0,NA
"7678249","ラー麺ずんどう屋京都久御山店","京都府",6130024,34.896451,135.743662,"","",NA,NA,NA,NA,0,NA
"5506640","天下一品 上鳥羽店","京都府",6018126,34.965279,135.748179,"近鉄京都線","上鳥羽口駅",5,NA,NA,NA,1,3
"5506785","来来亭 福知山店","京都府",6200000,NA,NA,"","",NA,NA,NA,NA,0,NA
"7649261","麺屋 猪一 離れ","京都府",6008076,34.999968,135.763236,"京都市営烏丸線","四条（京都市営）駅",6,NA,NA,NA,0,NA
"7197139","雁木","京都府",6028261,35.024767,135.746241,"京福北野線","北野白梅町駅",20,NA,NA,NA,1,NA
"5638603","ラーメン魁力屋 四条烏丸店","京都府",6048143,35.004644,135.761193,"","",NA,NA,NA,NA,4,3.25
"5816231","らーめん キラメキノトリ","京都府",6020862,35.018604,135.76942,"京阪本線（鴨東線）","神宮丸太町駅",5,NA,NA,NA,0,NA
"5506822","あかしや","京都府",6260016,NA,NA,"","",NA,NA,NA,NA,0,NA
"6384594","ラーメン 藤 大手筋店","京都府",6128369,34.932789,135.757318,"京阪本線","伏見桃山駅",8,NA,NA,NA,0,NA
"6408158","大勝軒 京都拉麺小路店","京都府",6008216,34.98568,135.75802,"近鉄京都線","京都駅",1,NA,NA,NA,0,NA
"7210264","拳ラーメン","京都府",6008841,34.989373,135.743676,"ＪＲ山陰本線（京都-米子）","丹波口駅",9,NA,NA,NA,2,4.25
