"ID","Name","Address","Latitude","Longitude","Line","Station","Walk","Budget","Pref","ScoreN","Score"
"geur300","博多 一瑞亭","〒160-0022 東京都新宿区新宿1-4-12",35.688241,139.711388,"地下鉄丸ノ内線","新宿御苑前駅","1",800,"東京都",0,NA
"ge3y000","麺処 びぎ屋","〒152-0004 東京都目黒区鷹番2-4-9",35.628836,139.689138,"東急東横線","学芸大学駅","5",1000,"東京都",7,4.25
"p662405","東京豚骨 背脂とんこつらーめん 雷門 門前仲町店","〒135-0047 東京都江東区富岡1-7-3 深山ビル1F",35.671693,139.795993,"地下鉄東西線","門前仲町駅","2",800,"東京都",1,NA
"ggtv300","韓韓麺 竹ノ塚店","〒121-0813 東京都足立区竹の塚1-30-16",35.792607,139.791634,"東武伊勢崎線（東武スカイツリーライン）","竹ノ塚駅","3",3000,"東京都",3,4.5
"gd1n634","松戸富田麺絆","〒100-7090 東京都千代田区丸の内2-7-2 JPタワー B1",35.6798,139.764877,"ＪＲ","東京駅","2",1000,"東京都",0,NA
"gfrs200","麺処 篠はら","〒171-0014 東京都豊島区池袋3-1-4",35.73306,139.702172,"地下鉄副都心線","要町駅","3",900,"東京都",0,NA
"ge9n607","太陽のトマト麺NEXT 新宿ミロード店","〒160-0023 東京都新宿区西新宿1-1-3 小田急新宿ミロード7F飲食フロア",35.689937,139.699683,"ＪＲ","新宿駅","2",1000,"東京都",11,3.27272727272727
"ge9n608","太陽のトマト麺 新宿東宝ビル店","〒160-0021 東京都新宿区歌舞伎町1-19-1 新宿東宝ビル",35.695444,139.701811,"西武新宿線","西武新宿駅","3",1000,"東京都",0,NA
"geft801","無尽蔵 汐留家","〒105-0021 東京都港区東新橋1-9-1",35.663121,139.761346,"都営大江戸線","汐留駅","2",2000,"東京都",0,NA
"g186600","呑来醍","〒164-0001 東京都中野区中野2-26-10 中村ビル3F",35.704158,139.666108,"ＪＲ","中野駅","2",2600,"東京都",0,NA
