"S_ID","S_Name","L_ID","Pref","Zipcode","Address","Longitude","Latitude","Open","Close","S_Status","C_ID","L_Name","L_Name2","L_Color","L_Color2","L_Status","R_ID","C_Name","C_Name2","C_Name3","C_URL","C_Type","C_Status"
9971105,"銀山町",99711,34,"730-0022","広島市中区銀山町",132.467866,34.393135,NA,NA,0,222,"広電２号線(宮島線)","広電２号線(宮島線)",NA,NA,0,99,"広島電鉄","広島電鉄株式会社","広電","http://www.hiroden.co.jp/",0,0
9971405,"銀山町",99714,34,"730-0022","広島市中区銀山町",132.467866,34.393135,NA,NA,0,222,"広電６号線(江波線)","広電６号線(江波線)",NA,NA,0,99,"広島電鉄","広島電鉄株式会社","広電","http://www.hiroden.co.jp/",0,0
2800210,"銀座",28002,13,"104-0061","中央区銀座４-１-２",139.763965,35.671989,NA,NA,0,18,"東京メトロ丸ノ内線","東京メトロ丸ノ内線","E60012","レッド",0,28,"東京メトロ","東京地下鉄株式会社","東京メトロ","http://www.tokyometro.jp/",2,0
2800314,"銀座",28003,13,"104-0061","中央区銀座４-１-２",139.763965,35.671989,NA,NA,0,18,"東京メトロ日比谷線","東京メトロ日比谷線","89A1AD","シルバー",0,28,"東京メトロ","東京地下鉄株式会社","東京メトロ","http://www.tokyometro.jp/",2,0
1132719,"銚子",11327,12,"288-0044","銚子市西芝町１丁目",140.827557,35.729449,NA,NA,0,2,"JR成田線","JR成田線",NA,NA,0,11,"JR東日本","東日本旅客鉄道株式会社","JR東日本","http://www.jreast.co.jp/",1,0
9933501,"銚子",99335,12,"288-0044","銚子市西芝町１丁目",140.827557,35.729449,NA,NA,0,147,"銚子電鉄線","銚子電気鉄道線",NA,NA,0,99,"銚子電気鉄道","銚子電気鉄道株式会社","銚子電鉄","http://www.choshi-dentetsu.jp/",0,0
9991410,"銭座町",99914,42,"850-0047","長崎市銭座町",129.865801,32.761475,NA,NA,0,236,"長崎電軌３系統","長崎電軌３系統",NA,NA,0,99,"長崎電気軌道","長崎電気軌道株式会社","長崎電気軌道","http://www.naga-den.com/",0,0
1131404,"錦糸町",11314,13,"130-0022","墨田区江東橋３丁目",139.814136,35.696802,NA,NA,0,2,"JR総武本線","JR総武本線",NA,NA,0,11,"JR東日本","東日本旅客鉄道株式会社","JR東日本","http://www.jreast.co.jp/",1,0
2800812,"錦糸町",28008,13,"130-0022","墨田区江東橋３丁目",139.814941,35.697578,NA,NA,0,18,"東京メトロ半蔵門線","東京メトロ半蔵門線","A757A8","パープル",0,28,"東京メトロ","東京地下鉄株式会社","東京メトロ","http://www.tokyometro.jp/",2,0
1192102,"鍋島",11921,41,"849-0932","佐賀市鍋島町大字八戸溝",130.265702,33.259062,NA,NA,0,6,"JR唐津線","JR唐津線",NA,NA,0,11,"JR九州","九州旅客鉄道株式会社","JR九州","http://www.jrkyushu.co.jp/",1,0
