"S_ID","S_Name","L_ID","Pref","Zipcode","Address","Longitude","Latitude","Open","Close","S_Status","C_ID","L_Name","L_Name2","L_Color","L_Color2","L_Status","R_ID","C_Name","C_Name2","C_Name3","C_URL","C_Type","C_Status","NN_Index","Name","Company","Line","TypeS","TypeC","P2011","P2012","P2013","P2014","P2015","P2016","P2017","Diff"
9920504,"巣子",99205,3,"020-0611","岩手県滝沢市巣子290-8",141.148674,39.783345,2016-03-18,NA,0,107,"いわて銀河鉄道線","いわて銀河鉄道線",NA,NA,0,99,"IGRいわて銀河鉄道","IGRいわて銀河鉄道株式会社","IGRいわて銀河鉄道","http://www.igr.jp/",0,0,4264,"巣子","アイジーアールいわて銀河鉄道","いわて銀河鉄道線",12,5,852,903,981,1031,994,991,991,"O"
1130214,"巣鴨",11302,13,"170-0002","東京都豊島区巣鴨一丁目16-1",139.739303,35.733445,1903-04-01,NA,0,2,"JR山手線","JR山手線",NA,NA,0,11,"JR東日本","東日本旅客鉄道株式会社","JR東日本","http://www.jreast.co.jp/",1,0,4267,"巣鴨","東日本旅客鉄道","山手線",11,2,154914,152186,152498,154178,151602,153240,154302,"O"
9930315,"巣鴨",99303,13,"170-0002","東京都豊島区巣鴨三丁目27-7",139.738519,35.733502,NA,NA,0,119,"都営三田線","都営三田線",NA,NA,0,99,"東京都交通局","東京都交通局","東京都交通局","http://www.kotsu.metro.tokyo.jp/",0,0,4266,"巣鴨","東京都","6号線三田線",12,3,89447,92177,93470,92991,94538,95518,96125,"O"
9930522,"巣鴨新田",99305,13,"170-0001","豊島区西巣鴨１",139.727769,35.735488,NA,NA,0,119,"都電荒川線","都営都電荒川線",NA,NA,0,99,"東京都交通局","東京都交通局","東京都交通局","http://www.kotsu.metro.tokyo.jp/",0,0,4268,"巣鴨新田","東京都","荒川線",21,3,2029,2013,2013,2013,2013,2013,1180,"O"
9992617,"工学部前",99926,46,"890-0065","鹿児島市郡元１",130.541857,31.568408,NA,NA,0,242,"鹿児島市電２系統","鹿児島市電２系統",NA,NA,0,99,"鹿児島市交通局","鹿児島市交通局","鹿児島市交通局","http://www.kotsu-city-kagoshima.jp/",0,0,4269,"工学部前","鹿児島市","唐湊線",21,3,670,704,672,626,646,644,586,"O"
9981505,"工業団地",99815,39,"788-0000","宿毛市平田町字扇",132.801931,32.95632,NA,NA,0,227,"宿毛線","土佐くろしお鉄道宿毛線",NA,NA,0,99,"土佐くろしお鉄道","土佐くろしお鉄道株式会社","土佐くろしお鉄道","http://www.tosakuro.co.jp/",0,0,4270,"工業団地","土佐くろしお鉄道","宿毛線",12,5,42,38,50,36,55,25,24,"O"
9920409,"工業高校前",99204,2,"034-0001","十和田市大字三本木字下平２１５",141.22926,40.627338,NA,NA,2,106,"十和田観光電鉄","十和田観光電鉄",NA,NA,2,99,"十和田観光電鉄","十和田観光電鉄株式会社","十和田観光電鉄","http://www.toutetsu.co.jp/",0,2,4271,"工業高校前","十和田観光電鉄","十和田観光電鉄線",12,4,228,0,0,0,0,0,0,"O"
9931508,"工機前",99315,8,"312-0025","ひたちなか市武田字大塚前１０９２-１５",140.524542,36.388099,NA,NA,0,129,"ひたちなか海浜鉄道湊線","ひたちなか海浜鉄道湊線",NA,NA,0,99,"ひたちなか海浜鉄道","ひたちなか海浜鉄道株式会社","ひたちなか海浜鉄道","http://www.hitachinaka-rail.co.jp/",0,0,5191,"日工前","ひたちなか海浜鉄道","湊線",12,5,9,26,28,31,33,32,33,""
3000126,"左京山",30001,23,"458-0801","名古屋市緑区鳴海町左京山",136.960301,35.070553,NA,NA,0,20,"名鉄名古屋本線","名鉄名古屋本線",NA,NA,0,30,"名古屋鉄道","名古屋鉄道株式会社","名鉄","http://www.meitetsu.co.jp/",2,0,4272,"左京山","名古屋鉄道","名古屋本線",12,4,0,0,0,0,0,0,0,"O"
1120505,"左堰",11205,2,"030-1273","青森市大字左堰",140.665929,40.917214,NA,NA,0,2,"JR津軽線","JR津軽線",NA,NA,0,11,"JR東日本","東日本旅客鉄道株式会社","JR東日本","http://www.jreast.co.jp/",1,0,4273,"左堰","東日本旅客鉄道","津軽線",11,2,0,0,0,0,0,0,0,"O"
